blinded_segment_id,h1_start_gps,l1_start_gps
4b52e4e3-ca49-4136-8ecf-06153d823890,1127235149.646326,1127235149.646326
aab253b7-a604-445c-8f36-b2f0e9c9c888,1126078393.152814,1126078393.152814
4a745c5a-5a5f-456a-a8ee-945996e982f1,1130132518.477251,1130132518.477251
6ab87d58-51c4-4f98-ab72-1134045caa52,1128826908.487068,1128826908.487068
583216d4-9734-4331-88f5-77b92ad23706,1132550408.433048,1132550408.433048
ddecf406-0041-41e9-800a-a4bcd2fba448,1135839088.946010,1135839088.946010
5afbd5ee-61aa-4900-811c-2068b1b47eb8,1136613155.575841,1136613155.575841
1b5110b2-f05a-44df-aab4-1d741e513906,1130671579.873592,1130671579.873592
2011d180-ed68-4df4-9cac-29b196faf6c3,1135973284.484185,1135973284.484185
3b9ca3f4-455d-48d8-990f-a18fc78e4a28,1132407050.414089,1132407050.414089
79ced038-d294-4cdf-938d-d86c318007a9,1135855980.378525,1135855980.378525
a7207f1a-a9a1-4b3e-9cf3-ce60bfc02c5d,1127782528.520071,1127782528.520071
534fe0f6-09c4-40b4-9f67-b6a80023029d,1127201345.241891,1127201345.241891
6dd9236c-77d3-4cf9-bf91-5c58896846d5,1130671175.869562,1130671175.869562
e5fb71f5-4ed5-4eeb-b43a-54182fde21d1,1135937776.524827,1135937776.524827
dfa36803-14f3-4bd8-aaba-8ecd800075d7,1129328692.586978,1129328692.586978
2dd2cca6-6791-46e2-bc08-5cc8954a9c31,1127529983.636460,1127529983.636460
be892959-a3b3-472c-86b7-37905de3594b,1128058156.448287,1128058156.448287
5001ca56-dd89-49c1-ae24-f8368d100e9a,1128919335.654772,1128919335.654772
a5039851-fd32-4e65-b694-a6b9873add7d,1127713302.942476,1127713302.942476
735f9d6e-4a4c-4cee-af78-4e5f20bcb625,1130147026.199664,1130147026.199664
43af1196-7b44-4f7e-a8ed-75c174f4a0f8,1127548103.560827,1127548103.560827
75127b52-774a-4e19-9488-2d7a723c190e,1127179970.698785,1127179970.698785
f277d230-93f1-4f6d-9726-5446580f2942,1133946405.537620,1133946405.537620
ce7a7fc0-15da-42f6-a70e-228dcbad13c9,1131605682.858921,1131605682.858921
45145651-dfb9-45a2-8e27-d141ca1753b4,1130681521.715193,1130681521.715193
e6aa1a69-3fc4-46fe-a6df-99f0e9bb47f6,1133074958.249246,1133074958.249246
2e99819a-44e0-4b0a-bd4b-f8d8e51917e6,1131424697.606733,1131424697.606733
1bb2d862-56bb-4eab-8075-d2acd275c9cd,1134864634.098857,1134864634.098857
07ad164b-d043-4e65-b9fe-49b5fc74b49d,1132380406.770624,1132380406.770624
e7fbcb19-eede-43c6-bd77-a040882188d6,1133069386.883935,1133069386.883935
9e1530e7-3118-410a-88d3-ecbdf5513fa3,1128117659.874129,1128117659.874129
4956501d-bd8e-4d0c-9f99-0487a2bd89cf,1137023809.187740,1137023809.187740
f5ac563f-ca8a-4e49-a423-cdec783fdb6f,1133232792.512645,1133232792.512645
115cc966-5c48-4c20-a780-9e53562748b2,1128287266.025017,1128287266.025017
261cf115-70bf-47ca-afde-397ce285085d,1134312460.429505,1134312460.429505
5c8623f8-4b7f-4656-84d4-f3e25ca848e6,1135471616.876133,1135471616.876133
6705aeeb-f08c-432e-98b1-b979a56b4a85,1128259082.359310,1128259082.359310
fb2b3be3-53ae-4fd5-8a7c-6e545ea60eeb,1135643462.977859,1135643462.977859
23d810a9-f84f-4a32-b736-8fa2ae2f4056,1134633351.422714,1134633351.422714
64f77f85-6518-4272-a52f-6bd4e853edab,1134160518.867028,1134160518.867028
734595f7-87c8-4dc1-bae7-7c16b02f22a8,1131159199.673400,1131159199.673400
3f0a7806-9051-4045-9b0e-ab952a1a5908,1128267845.717118,1128267845.717118
8f122de2-5f35-4033-b836-f3927dd4d5a4,1129293256.978913,1129293256.978913
6e78a9a0-caea-4f06-9200-f5897e6db3b6,1135472664.779596,1135472664.779596
320cac6a-9ac2-4cf5-af14-4dc86990e90b,1128453469.644169,1128453469.644169
9e90d516-c418-4899-8faf-75f17b495483,1128999172.545889,1128999172.545889
c5d5a0b6-1c2b-4848-bfb4-7dc2a91dcd55,1131946042.474895,1131946042.474895
2f8df913-f66c-4b31-890e-3ca24a6b0ae6,1135985620.592114,1135985620.592114
65107217-ff9a-40cb-ba1e-50fc377801bd,1130021635.664719,1130021635.664719
f9454068-653d-4c00-8be5-f8180cd3c320,1128348587.230640,1128348587.230640
4fe3a96f-0693-4138-beea-fdf3e1035812,1129338355.336682,1129338355.336682
cde22782-0a40-44f0-be28-bf4bfcf0ab8b,1134920801.060647,1134920801.060647
1922d781-6c85-44e5-a1a0-ce275e7379e1,1126806467.419898,1126806467.419898
51e0c003-4ac4-4161-b37b-b7804a521598,1127354788.542774,1127354788.542774
1101b70d-c6d3-4ca5-ac0e-85188ebcda84,1132333428.975280,1132333428.975280
2c118810-bd64-4475-b48c-3d8b4a8b96b6,1129563532.078500,1129563532.078500
1fd625ba-fe08-4fa6-b57a-bfb8d783817c,1133219040.170172,1133219040.170172
0db9a739-19b0-41fb-9858-ba2fd093b7d1,1129626696.335201,1129626696.335201
cd8e5472-ceb3-496b-9aad-25b5451d518e,1135745265.471112,1135745265.471112
ba59c659-8e34-44ba-b716-e71ee87273e7,1134217232.768019,1134217232.768019
bad57c08-2b2b-46b7-b88f-4c271abe52fd,1133337550.447042,1133337550.447042
630f35af-e840-4966-8b73-6261b1d65b20,1134299499.070018,1134299499.070018
bdad2fcd-687a-4952-a12b-2b946fd59252,1128442653.219965,1128442653.219965
9e180902-2986-4d1e-b971-6b7377e1646a,1127201638.843220,1127201638.843220
c824294d-c67d-4aab-8aaa-dfc6ad5b7753,1127372241.974595,1127372241.974595
c35e0b37-95af-497b-a8a8-d01eb6f66a9a,1132757390.859841,1132757390.859841
48bfc3c6-6bcd-4290-8b09-add0c925d59e,1127210664.077458,1127210664.077458
cb9505de-1790-4546-a48b-bd222b68bc92,1133613621.680547,1133613621.680547
57d1fdf0-c9ff-438e-a17c-982d2570da39,1129685707.577690,1129685707.577690
3d36d742-e5b7-492d-bb52-2fa074108271,1129730267.188525,1129730267.188525
a37449bc-6c37-4268-887e-161f4e8a280c,1130182636.939582,1130182636.939582
5981b5e0-0315-44c8-b5b2-886cf6d52c57,1128047041.639985,1128047041.639985
e634eaac-4647-4490-9b23-84d496296c22,1127176917.762132,1127176917.762132
2cdc1b70-7106-4cd3-bc61-2bcb5576d4ea,1126259446.400000,1126259446.400000
5f136b6b-ae50-4636-b4de-5e6a00fd943a,1135534588.672024,1135534588.672024
81bc06fd-f926-41a4-9ddc-57bc48203efa,1127631353.452683,1127631353.452683
086192d0-1e8a-445c-b419-4873e6f9717e,1136610431.921379,1136610431.921379
32206045-2b58-462f-9d34-2836c2469654,1134619713.307125,1134619713.307125
99303abd-77bd-44e8-8648-b883cb109124,1126091367.901388,1126091367.901388
debe7ad8-e70a-492d-92f3-39467dd2bd16,1130679338.932127,1130679338.932127
16779317-097f-42b2-be4a-900e3e00c90b,1130509592.867901,1130509592.867901
3febe26e-80cd-454b-af6b-9219386d07f2,1132582287.350999,1132582287.350999
95e01351-ea5c-4e72-9657-579c50f620c0,1135878338.263651,1135878338.263651
9044e82e-c9ea-4b5c-882f-2e2d4f3e957f,1135934448.693773,1135934448.693773
a9a200ca-11ba-4e19-bc1d-130dca238c6c,1133347192.540987,1133347192.540987
a172d49b-3cf3-4dbd-9cfd-fd265ad1b7ea,1137225391.735210,1137225391.735210
da1db44e-d528-4fea-b34b-1264eafe5d33,1128071506.883746,1128071506.883746
309aa241-e318-4bf0-851b-8e2900bbfdcd,1132713649.264886,1132713649.264886
df6ae3b7-c74b-4306-9b99-bec47c8ba8b1,1132813180.891429,1132813180.891429
963a706a-2543-4ed1-af86-55ffd13b1378,1126416078.986571,1126416078.986571
9c786c1f-c8cf-439f-85b9-9d1ce88d3143,1132618591.720960,1132618591.720960
8803d908-394f-4f20-9a85-fd7ba925828a,1135159836.432300,1135159836.432300
610d5ca9-53ef-4a5f-b5e2-b95de38f0f98,1133793162.917619,1133793162.917619
abc327f2-3c73-42b0-a48a-9908c6e40744,1127344785.622804,1127344785.622804
a56ba8e9-569f-4d49-89b0-bbc17d48d764,1127710124.390283,1127710124.390283
5d8eb4dd-b544-4e00-8472-8da3359634c4,1132738236.553571,1132738236.553571
816ef9f5-fdda-42eb-beed-80a881dcdda4,1130786411.442077,1130786411.442077
6358ab12-4c24-4f7e-aee8-4a3720bcb96c,1130062409.617226,1130062409.617226
f89cbff9-5f69-4672-9f8f-32689cc6cff9,1128055900.654776,1128055900.654776
